GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,Pedido,35,458,10,32,0,75,11,38,2,25
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,ProductoDigital,46,78,1,3,7,27,5,10,4,8
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,Factura,0,389,0,4,0,66,0,27,0,25
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,Cliente,37,102,0,0,10,20,10,9,10,9
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,Tienda,0,170,1,19,0,29,1,12,0,3
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,Producto,42,43,2,2,6,15,5,7,4,6
Sistema de Gestión de Pedidos,dev.jfgonzalez.gestpedidos,ProductoFisico,29,46,0,3,5,16,2,7,2,5
